Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Edwin I. Hatch-1;911;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;31.gru.75;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Edwin I. Hatch-2;921;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;05.wrz.79;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Elk River;24;Lekkowodny;BWR;;Badawczo/Energetyczny;01.lip.64;01.lut.68;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Enrico Fermi-1;65;Prêdki;FBR;Prototype Liquid Metal FBR;Badawczo/Energetyczny;1957;22.wrz.72;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Enrico Fermi-2;1198;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;23.sty.88;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Fort Calhoun;512;Lekkowodny;PWR;;Energetyczny;09.sie.73;24.paŸ.16;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Fort St. Vrain;342;Grafitowo-gazowy;HTGR;;Energetyczny;01.lip.79;29.sie.89;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Ginna;608;Lekkowodny;PWR;WH 2-loop;Energetyczny;01.lip.70;;;2029;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Grand Gulf;1500;Lekkowodny;BWR;BWR-6 (Mark 3);Energetyczny;01.lip.85;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;H. B. Robinson;780;Lekkowodny;PWR;WH 3-loop (DRYAMB);Energetyczny;07.mar.71;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hallam;84;;;;Badawczo/Energetyczny;1963;1969;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hope Creek;1240;Lekkowodny;BWR;BWR-4 Mk 1;Energetyczny;20.gru.86;;;2026;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Humboldt Bay;65;Lekkowodny;BWR;;Energetyczny;sie.63;lip.76;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Indian Point-1;277;Lekkowodny;PWR;;Energetyczny;01.paŸ.62;31.paŸ.74;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Indian Point-2;1067;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;01.sie.74;;;2021;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Indian Point-3;1085;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;30.sie.76;;;2021;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;James A. FitzPatrick;849;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;lip.75;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Joseph M. Farley-1;918;Lekkowodny;PWR;WH 3-loop (DRYAMB;Energetyczny;01.gru.77;;;25.cze.37;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Joseph M. Farley-2;928;Lekkowodny;PWR;WH 3-loop (DRYAMB;Energetyczny;30.lip.81;;;31.mar.41;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Kewaunee;595;Lekkowodny;PWR;WH 2-loop (DRYAMB);Energetyczny;16.cze.74;07.maj.13;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;La Crosse;55;Lekkowodny;BWR;;Energetyczny;07.lis.69;30.kwi.87;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;LaSalle County-1;1207;Lekkowodny;BWR;BWR-5 (Mark 2 Containment);Energetyczny;01.sty.84;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;LaSalle County-2;1207;Lekkowodny;BWR;BWR-5 (Mark 2 Containment);Energetyczny;19.paŸ.84;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Limerick-1;1194;Lekkowodny;BWR;BWR-4 (Mark 2);Energetyczny;01.lut.86;;;2044;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Limerick-2;1194;Lekkowodny;BWR;BWR-4 (Mark 2);Energetyczny;08.sty.90;;;2049;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Maine Yankee;900;Lekkowodny;PWR;CE/ABB 3-loop design;Energetyczny;28.gru.72;01.sie.97;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Marble Hill;1130;Lekkowodny;PWR;;Energetyczny;;;;;Budowa reaktora zosta³a anulowana","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;McGuire-1;1215;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;01.gru.81;;;06.gru.41;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;McGuire-2;1215;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;01.mar.84;;;03.mar.43;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Millstone-1;684;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;28.gru.70;21.lip.98;;;Raktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Millstone-2;918;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;26.gru.75;;;31.lip.35;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Millstone-3;1280;Lekkowodny;PWR;WH 4-loop (DRYSUB);Energetyczny;23.kwi.86;;;25.lis.45;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Monticello;691;Lekkowodny;BWR;BWR-3 (Mark 1);Energetyczny;30.cze.71;;;2030;","
