Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Azja;Rosja;Akademik Lomonosov 2;38;Lekkowodny;PWR;KLT-40S;Energetyczny;04.lip.19;;;;Reaktory umieszczone s¹ na jednostce p³ywaj¹cej","
Azja;Rosja;Balakovo-1;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;23.maj.86;;;2045;","
Azja;Rosja;Balakovo-2;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;18.sty.88;;;2043;","
Azja;Rosja;Balakovo-3;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;08.kwi.89;;;2048;","
Azja;Rosja;Balakovo-4;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;22.gru.93;;;2053;","
Azja;Rosja;Balakovo-5;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;;;;;Budowa zawieszona 28 Grudnia 1992 roku","
Azja;Rosja;Balakovo-6;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;;;;;Budowa zawieszona 28 Grudnia 1992 roku","
Azja;Rosja;Ba³tijsk-1;1194;Lekkowodny;PWR;WWER-1200/491;Energetyczny;;;01.lip.25;;W budowie","
Azja;Rosja;Ba³tijsk-2;1194;Lekkowodny;PWR;WWER-1200/491;Energetyczny;;;01.lip.27;;W budowie","
Azja;Rosja;Bashkir-1;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa zawieszona w 1991 roku","
Azja;Rosja;Bashkir-2;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa zawieszona w 1991 roku","
Azja;Rosja;Bashkir-3;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa zawieszona w 1991 roku","
Azja;Rosja;Bashkir-4;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa zawieszona w 1991 roku","
Azja;Rosja;Beloyarsk-1;108;Lekkowodny;LWGR;AMB-100;Energetyczny;26.kwi.64;01.sty.83;;;Reaktor wy³¹czony","
Azja;Rosja;Beloyarsk-2;160;Lekkowodny;LWGR;AMB-200;Energetyczny;01.gru.69;01.sty.90;;;Reaktor wy³¹czony","
Azja;Rosja;Beloyarsk-3;600;Prêdki;FBR;BN-600;Energetyczny;01.lis.81;;;;B budowie","
Azja;Rosja;Beloyarsk-4;885;Prêdki;FBR;BN-800;Energetyczny;10.gru.15;;;;B budowie","
Azja;Rosja;Bilibino-1;12;Lekkowodny;LWGR;EGP-6;Energetyczny;01.kwi.74;14.sty.19;;;Reaktor wy³¹czony","
Azja;Rosja;Bilibino-2;12;Lekkowodny;LWGR;EGP-6;Energetyczny;01.lut.75;;;;E budowie","
Azja;Rosja;Bilibino-3;12;Lekkowodny;LWGR;EGP-6;Energetyczny;01.lut.76;;;;E budowie","
Azja;Rosja;Bilibino-4;12;Lekkowodny;LWGR;EGP-6;Energetyczny;01.sty.77;;;;E budowie","
Azja;Rosja;Gorky-1;500;Lekkowodny;PWR;AST-500;Energetyczny;;;;;Budowa zawieszona w 1993 roku","
Azja;Rosja;Gorky-2;500;Lekkowodny;PWR;AST-500;Energetyczny;;;;;Budowa zawieszona w 1993 roku","
Azja;Rosja;Kalinin - 1;1000;Lekkowodny;PWR;VVER V-338;Energetyczny;12.cze.85;;;2025;V budowie","
Azja;Rosja;Kalinin - 2;1000;Lekkowodny;PWR;VVER V-338;Energetyczny;03.mar.87;;;2038;V budowie","
Azja;Rosja;Kalinin - 3;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;08.lis.05;;;2034;V budowie","
Azja;Rosja;Kalinin - 4;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;25.gru.12;;;2041;V budowie","
Azja;Rosja;Kaliningrad - 1;1194;Lekkowodny;PWR;VVER V-491;Energetyczny;;;;;Budowa zawieszona w 2013 roku","
Azja;Rosja;Kola-1;440;Lekkowodny;PWR;VVER V-230;Energetyczny;28.gru.73;;;;Planowane zamkniêcie w najbli¿szej przysz³oœci","
Azja;Rosja;Kola-2;440;Lekkowodny;PWR;VVER V-230;Energetyczny;21.lut.75;;;;Planowane zamkniêcie w najbli¿szej przysz³oœci","
Azja;Rosja;Kola-3;440;Lekkowodny;PWR;VVER V-230;Energetyczny;03.gru.82;;;2026;V budowie","
Azja;Rosja;Kola-4;440;Lekkowodny;PWR;VVER V-230;Energetyczny;06.gru.84;;;2029;V budowie","
Azja;Rosja;Kostroma-1;1350;Lekkowodny;PWR;AES-2006;Energetyczny;;;;;Budowa zawieszona w 1990 roku","
Azja;Rosja;Kostroma-2;1350;Lekkowodny;PWR;AES-2006;Energetyczny;;;;;Budowa zawieszona w 1990 roku","
Azja;Rosja;Kostroma-3;1350;Lekkowodny;PWR;AES-2006;Energetyczny;;;;;Budowa zawieszona w 1990 roku","
Azja;Rosja;Kostroma-4;1350;Lekkowodny;PWR;AES-2006;Energetyczny;;;;;Budowa zawieszona w 1990 roku","
Azja;Rosja;Kursk-1;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;12.paŸ.77;;;2021;R budowie","
Azja;Rosja;Kursk-2;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;17.sie.79;;;2024;R budowie","
Azja;Rosja;Kursk-3;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;30.mar.84;;;2029;R budowie","
Azja;Rosja;Kursk-4;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;05.lut.86;;;2030;R budowie","
Azja;Rosja;Kursk-5;1000;Lekkowodny;LWGR;MKER (1000 MW);Energetyczny;;;;;Budowa zawieszona 15 Sierpnia 2012 roku","
Azja;Rosja;Kursk-6;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;;;;;Budowa anulowana 1 Grudnia 1993 roku","
Azja;Rosja;Kursk 2-1;1255;Lekkowodny;PWR;VVER V-510;Energetyczny;;;;;Budowa rozpoczêta 29 Kwietnia 2018 roku","
Azja;Rosja;Kursk 2-2;1255;Lekkowodny;PWR;VVER V-510;Energetyczny;;;;;Budowa rozpoczêta 15 Kwietnia 2019 roku","
Azja;Rosja;Leningrad-1;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;01.lis.74;21.gru.18;;;Reaktory wy³¹czony, w trakcie demonta¿u","
Azja;Rosja;Leningrad-2;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;11.lut.76;;;2021;R budowie","
Azja;Rosja;Leningrad-3;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;29.cze.80;;;2025;R budowie","
Azja;Rosja;Leningrad-4;1000;Lekkowodny;LWGR;RBMK-1000;Energetyczny;29.sie.81;;;2026;R budowie","
Azja;Rosja;Leningrad 2-1;1188;Lekkowodny;PWR;VVER V-491;Energetyczny;29.paŸ.18;;;;V budowie","
Azja;Rosja;Leningrad 2-2;1199;Lekkowodny;PWR;VVER V-491;Energetyczny;;;2021;;W budowie","
Azja;Rosja;Novovoronezh-1;210;Lekkowodny;PWR;VVER V-120;Energetyczny;31.gru.64;16.lut.88;;;Reaktor wy³¹czony","
Azja;Rosja;Novovoronezh-2;365;Lekkowodny;PWR;VVER V-120;Energetyczny;14.kwi.70;29.sie.90;;;Reaktor wy³¹czony","
Azja;Rosja;Novovoronezh-3;417;Lekkowodny;PWR;VVER V-179;Energetyczny;29.cze.72;25.gru.16;;;Reaktor wy³¹czony","
Azja;Rosja;Novovoronezh-4;417;Lekkowodny;PWR;VVER V-179;Energetyczny;24.mar.73;;;2032;V budowie","
Azja;Rosja;Novovoronezh-5;1000;Lekkowodny;PWR;VVER V-187;Energetyczny;20.lut.81;;;2035;V budowie","
Azja;Rosja;Novovoronezh 2-1;1180;Lekkowodny;PWR;VVER V-392M;Energetyczny;27.lut.17;;;2077;V budowie","
Azja;Rosja;Novovoronezh 2-2;1195;Lekkowodny;PWR;VVER V-392M;Energetyczny;;;2019;;W budowie, trwaj¹ ostatnie prace przed rozpoczêciem komercyjnej pracy","
Azja;Rosja;Obninsk;6;Lekkowodny;LWGR;AM-1;Energetyczny;01.gru.54;29.kwi.02;;;Reaktor wy³¹czony","
Azja;Rosja;Rostov-1;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;25.gru.01;;;;V budowie","
Azja;Rosja;Rostov-2;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;10.gru.10;;;;V budowie","
Azja;Rosja;Rostov-3;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;27.gru.14;;;;V budowie","
Azja;Rosja;Rostov-4;1030;Lekkowodny;PWR;VVER V-320;Energetyczny;28.wrz.18;;;;V budowie","
Azja;Rosja;South Urals-1;1220;Prêdki;FBR;BN-1200;Energetyczny;;;;;Budowa zawieszona w 1993 roku","
Azja;Rosja;South Urals-2;1220;Prêdki;FBR;BN-1200;Energetyczny;;;;;Budowa zawieszona w 1993 roku","
Azja;Rosja;South Urals-3;1220;Prêdki;FBR;BN-1200;Energetyczny;;;;;Budowa zawieszona w 1993 roku","
Azja;Rosja;Smolensk-1;1000;Lekkowodny;PWR;RBMK-1000;Energetyczny;30.wrz.83;;;2027;R budowie","
Azja;Rosja;Smolensk-2;1000;Lekkowodny;PWR;RBMK-1000;Energetyczny;02.lip.85;;;2030;R budowie","
Azja;Rosja;Smolensk-3;1000;Lekkowodny;PWR;RBMK-1000;Energetyczny;12.paŸ.90;;;2032;R budowie","
Azja;Rosja;Smolensk-4;1000;Lekkowodny;PWR;RBMK-1000;Energetyczny;;;;;Budowa anulowana 1 Grudznia 1993 roku","
Azja;Rosja;Tatar-1;1350;Lekkowodny;PWR;AES-2006;Energetyczny;;;;;Budowa zawieszona w 1990 roku, planowane rozpoczêcie robót","
Azja;Rosja;Tatar-2;1350;Lekkowodny;PWR;AES-2006;Energetyczny;;;;;Budowa zawieszona w 1990 roku, planowane rozpoczêcie robót","
Azja;Rosja;Tatar-3;;Lekkowodny;PWR;;Energetyczny;;;;;Budowa zawieszona w 1990 roku","
Azja;Rosja;Tatar-4;;Lekkowodny;PWR;;Energetyczny;;;;;Budowa zawieszona w 1990 roku","
Azja;Rosja;Voronezh-1;500;Lekkowodny;PWR;AST-500;Energetyczny;;;;;Budowa zawieszona 5 Lipca 1990 roku","
Azja;Rosja;Voronezh-2;500;Lekkowodny;PWR;AST-500;Energetyczny;;;;;Budowa zawieszona 5 Lipca 1990 roku","
Azja;Rosja;Kurchatov Institute, Moscow;3 MWt;Fuzyjny;;T-15;Badawczy;1988;;;;Reaktor modernizowany","
Azja;Rosja;St. Petersburg Institute of Nuclear Physics;18 MWt;Lekkowodny;PWR;VVR-M;Badawczy;;;;;","
Azja;Rosja;W sumie 98 reaoktorów badawczych w ca³ym kraju;;;;;;;;;;","
Azja;Syria;Miniature neutron source reactor;0,00003 MWt;;Zbiornikowy;MNSR;Badawczy;;;;;","
Azja;Tajlandia;Thailand Institute of Nuclear Technology (TINT) Bangkok;;;TRIGA Mark III;TRR-1/M1 Thai Research Reactor 1/Modification 1;Badawczy;1962;;;;","
Azja;Tajlandia;Ongkharak Nuclear Research Center;;;TRIGA;TRIGA MPR 10;Badawczy;;;;;W budowie","
Azja;Tajwan;Jinshan-1;636;Lekkowodny;BWR;BWR-4;Energetyczny;10.gru.78;03.paŸ.18;;;Reaktor wy³¹czony","
Azja;Tajwan;Jinshan-2;636;Lekkowodny;BWR;BWR-4;Energetyczny;15.lip.79;03.paŸ.18;;;Reaktor wy³¹czony","
Azja;Tajwan;Kuosheng-1;985;Lekkowodny;BWR;BWR-6;Energetyczny;28.gru.81;;;;","
Azja;Tajwan;Kuosheng-2;985;Lekkowodny;BWR;BWR-6;Energetyczny;16.mar.83;;;;","
Azja;Tajwan;Lungmen-1;1350;Lekkowodny;BWR;ABWR;Energetyczny;;;;;Budowa reaktora nie zosta³a ukoñczona","
Azja;Tajwan;Lungmen-2;1350;Lekkowodny;BWR;ABWR;Energetyczny;;;;;Budowa reaktora nie zosta³a ukoñczona","
Azja;Tajwan;Maanshan-1;951;Lekkowodny;PWR;WE 312 3-loops;Energetyczny;27.lip.84;;;2044;","
Azja;Tajwan;Maanshan-2;951;Lekkowodny;PWR;WE 312 3-loops;Energetyczny;18.maj.85;;;2045;","
Azja;Tajwan;National Tsing Hua University, Hsinchu;;;TRIGA;;Badawczy;1958;;;;","
Azja;Turcja;Akkuyu-1;1200;Lekkowodny;PWR;VVER V-509;Energetyczny;;;2022;;W budowie","
Azja;Turcja;Turkish Atomic Energy Authority;;;;TR-1 Research Reactor;Badawczy;;;;;","
Azja;Turcja;Turkish Atomic Energy Authority;;;;TR-2 Research Reactor;Badawczy;;;;;","
Azja;Turcja;Turkish Atomic Energy Authority;;;;TRD Fuel Pilot Plant;Badawczy;;;;;","
Azja;Turcja;Istanbul Technical University, Istanbul;;;TRIGA;TRIGA MARK II Research Reactor;Badawczy;;;;;","
Azja;Uzbekistan;Tashkent;;;Zbiornikowy;Ulugbek, WWR-SM;Badawczy;;;;;","
Azja;Wietnam;Ð? L?t;;;TRIGA;TRIGA Mark II;Badawczy;1963;;;;Reaktor wy³¹czony w 1974, uruchomiony ponownie w 1983 przez Zwi¹zek Radziecki","
Europa;Austria;Seibersdorf;0,01 - 9,5;;Zbiornikowy;ASTRA;Badawczy;1960;1999;;;Reaktor wy³¹czony","
Europa;Austria;Wiedeñ;0,25;;Zbiornikowy;TRIGA Mark-II;Badawczy;1962;;;;","
Europa;Austria;Graz;0,00001;;Argonaut;Siemens Argonaut;Badawczy;1965;2004;;;","
Europa;Bia³oruœ;Ostrovets 1;1200;Lekkowodny;WWER;AES-2006;Energetyczny;;;2019;;W budowie","
Europa;Bia³oruœ;Ostrovets 2;1200;Lekkowodny;WWER;AES-2006;Energetyczny;;;2020;;W budowie","
Europa;Bia³oruœ;IRT;;;;IRT;Badawczy;;1988;;;","
Europa;Bia³oruœ;Pamir;;;;Pamir;Badawczy;;1986;;;","
Europa;Belgia;Doel 1;466;Lekkowodny;PWR;WE-2 loops;Energetyczny;15.lut.75;;;lut.25;","
Europa;Belgia;Doel 2;454;Lekkowodny;PWR;WE-2 loops;Energetyczny;01.gru.75;;;gru.25;","
Europa;Belgia;Doel 3;1056;Lekkowodny;PWR;Framatome 3-loops;Energetyczny;01.paŸ.82;;;paŸ.22;","
Europa;Belgia;Doel 4;1090;Lekkowodny;PWR;WE-3 loops;Energetyczny;01.lip.85;;;lip.25;","
Europa;Belgia;Tihange 1;1009;Lekkowodny;PWR;Framatome 3-loops;Energetyczny;01.paŸ.75;;;paŸ.25;","
Europa;Belgia;Tihange 2;1055;Lekkowodny;PWR;Framatome 3-loops;Energetyczny;01.cze.83;;;lut.23;","
Europa;Belgia;Tihange 3;1089;Lekkowodny;PWR;WE-3 loops;Energetyczny;01.wrz.85;;;wrz.25;","
Europa;Belgia;SCK CEN Mol;4 MWt;Grafitowo-gazowy;GCR;Belgian Reactor 1;Badawczy;;;;;","
Europa;Belgia;SCK CEN Mol;125 MWt;;;Belgian Reactor 2;Badawczy;;;;;","
Europa;Belgia;SCK CEN Mol;12;Lekkowodny;PWR;Belgian Reactor 3;Badawczy;1962;1987;;;Reaktor wy³¹czony i zdemontowany","
Europa;Belgia;SCK CEN Mol;0;;Krytyczny;VENUS;Badawczy;;;;;","
Europa;Belgia;SCK CEN Mol;;Prêdki;;GUINEVERE;Badawczy;;;;;","
Europa;Belgia;Ghent;0,25 MWt;;Zbiornikowy;Thetis reactor;Badawczy;;;;;Reaktor wy³¹czony i zdemontowany","
Europa;Bu³garia;Kozloduy 1;440;Lekkowodny;WWER;VVER-440;Energetyczny;1974;2004;;;Reaktor wy³¹czony","
Europa;Bu³garia;Kozloduy 2;440;Lekkowodny;WWER;VVER-440;Energetyczny;1975;2004;;;Reaktor wy³¹czony","
Europa;Bu³garia;Kozloduy 3;440;Lekkowodny;WWER;VVER-440;Energetyczny;1980;2007;;;Reaktor wy³¹czony","
Europa;Bu³garia;Kozloduy 4;440;Lekkowodny;WWER;VVER-440;Energetyczny;1982;2007;;;Reaktor wy³¹czony","
Europa;Bu³garia;Kozloduy 5;1000;Lekkowodny;WWER;VVER-1000;Energetyczny;1987;;;;","
Europa;Bu³garia;Kozloduy 6;1000;Lekkowodny;WWER;VVER-1000;Energetyczny;1991;;;;","
Europa;Bu³garia;Bulgarian Academy of Sciences;1;;Zbiornikowy;IRT-200;Badawczy;1961;1989;;;Reaktor wy³¹czony i czêœciowo zdemontowany","
Europa;Czechy;Dukovany 1;505;Lekkowodny;WWER;VVER-440/213;Energetyczny;sie.85;;;2035-2037;","
Europa;Czechy;Dukovany 2;505;Lekkowodny;WWER;VVER-440/213;Energetyczny;wrz.86;;;2035-2037;","
Europa;Czechy;Dukovany 3;505;Lekkowodny;WWER;VVER-440/213;Energetyczny;maj.87;;;2035-2037;","
Europa;Czechy;Dukovany 4;505;Lekkowodny;WWER;VVER-440/213;Energetyczny;gru.87;;;2035-2037;","
Europa;Czechy;Temelin 1;1080;Lekkowodny;WWER;VVER 1000 type V 320 PW;Energetyczny;gru.00;;;2042;","
Europa;Czechy;Temelin 2;1080;Lekkowodny;WWER;VVER 1000 type V 320 PW;Energetyczny;gru.02;;;2043;","
Europa;Czechy;Øež;2 MWt;;Zbiornikowy;VVR-S;Badawczy;1957;1987;;;","
Europa;Czechy;Øež;10 MWt;;Zbiornikowy;LVR-15;Badawczy;1989;;;;","
Europa;Czechy;Prague;0,00001 MWt;Lekkowodny;Zbiornikowy;VR-1;Badawczy;gru.90;;;;","
Europa;Dania;Ris?;0,00002;;;DR-1;Badawczy;1957;2001;;;","
Europa;Dania;Ris?;3;;;DR-2;Badawczy;1958;1975;;;","
Europa;Dania;Ris?;10;Ciê¿kowodny;;DR-3 DIDO;Badawczy;1960;2000;;;","
Europa;Estonia;Paldiski;70;;;;Okrêtowe;1962;1989;;;","
Europa;Estonia;Paldiski;90;;;;Okrêtowe;1962;1989;;;","
Europa;Finlandia;Loviisa 1;520;Lekkowodny;WWER;VVER-440 V-213;Energetyczny;08.lut.77;;;;","
Europa;Finlandia;Loviisa 2;520;Lekkowodny;WWER;VVER-440 V-213;Energetyczny;04.lis.80;;;;","
Europa;Finlandia;Olkiluoto 1;910;Lekkowodny;BWR;ABB-III, BWR-2500;Energetyczny;10.paŸ.79;;;;","
Europa;Finlandia;Olkiluoto 2;910;Lekkowodny;BWR;ABB-III, BWR-2500;Energetyczny;10.lip.82;;;;","
Europa;Finlandia;Olkiluoto 3;1720;Lekkowodny;PWR;EPR;Energetyczny;;;sty.20;;W budowie","
Europa;Finlandia;FiR 1;0,25;;Zbiornikowy;TRIGA Mark II;Badawczy;1962;2015;;;","
Europa;Francja;Belleville-1;1363;Lekkowodny;PWR;PWR (P4 REP 1300);Energetyczny;01.cze.88;;;2028;","
Europa;Francja;Belleville-2;1363;Lekkowodny;PWR;PWR (P4 REP 1300);Energetyczny;01.sty.89;;;2029;","
Europa;Francja;Blayais-1;951;Lekkowodny;PWR;PWR (CP1);Energetyczny;01.gru.81;;;;","
Europa;Francja;Blayais-2;951;Lekkowodny;PWR;PWR (CP1);Energetyczny;01.lut.83;;;;","
Europa;Francja;Blayais-3;951;Lekkowodny;PWR;PWR (CP1);Energetyczny;14.lis.83;;;;","
Europa;Francja;Blayais-4;951;Lekkowodny;PWR;PWR (CP1);Energetyczny;01.paŸ.83;;;;","
Europa;Francja;Brennilis-1;75;Ciê¿kowodno-gazowy;HWGCR;MONTS-D'ARREE;Energetyczny;01.cze.68;31.lip.85;;;Wy³¹czony po atakach terrorystycznych","
Europa;Francja;Bugey-1;555;Grafitowo-gazowy;GCR;UNGG;Energetyczny;01.lip.72;27.maj.94;;;","
Europa;Francja;Bugey-2;951;Lekkowodny;PWR;CP0;Energetyczny;01.mar.79;;;;","
Europa;Francja;Bugey-3;945;Lekkowodny;PWR;CP0;Energetyczny;01.mar.79;;;;","
Europa;Francja;Bugey-4;917;Lekkowodny;PWR;CP0;Energetyczny;01.lip.79;;;;","
Europa;Francja;Bugey-5;917;Lekkowodny;PWR;CP0;Energetyczny;03.sty.80;;;;","
Europa;Francja;Cattenom-1;1362;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.kwi.87;;;;","
Europa;Francja;Cattenom-2;1362;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.lut.88;;;;","
Europa;Francja;Cattenom-3;1362;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.lut.91;;;;","
Europa;Francja;Cattenom-4;1362;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.sty.92;;;;","
Europa;Francja;Chinon-A1;80;Grafitowo-gazowy;GCR;UNGG;Energetyczny;14.cze.63;16.kwi.73;;;","
Europa;Francja;Chinon-A2;230;Grafitowo-gazowy;GCR;UNGG;Energetyczny;24.lut.65;14.cze.85;;;","
Europa;Francja;Chinon-A3;480;Grafitowo-gazowy;GCR;UNGG;Energetyczny;04.sie.66;15.cze.90;;;","
Europa;Francja;Chinon-B1;954;Lekkowodny;PWR;CP2;Energetyczny;30.lis.82;;;2024-2028;","
Europa;Francja;Chinon-B2;954;Lekkowodny;PWR;CP2;Energetyczny;29.lis.83;;;2024-2028;","
Europa;Francja;Chinon-B3;954;Lekkowodny;PWR;CP2;Energetyczny;20.paŸ.86;;;2024-2028;","
Europa;Francja;Chnion-B4;954;Lekkowodny;PWR;CP2;Energetyczny;14.lis.87;;;2024-2028;","
Europa;Francja;Chooz-A;320;Lekkowodny;PWR;Chooz-A;Energetyczny;15.kwi.67;13.paŸ.91;;;","
Europa;Francja;Chooz-B1;1560;Lekkowodny;PWR;N4 REP 1450;Energetyczny;15.maj.00;;;;","
Europa;Francja;Chooz-B2;1560;Lekkowodny;PWR;N4 REP 1450;Energetyczny;29.wrz.00;;;;","
Europa;Francja;Civaux-1;1561;Lekkowodny;PWR;N4 REP 1450;Energetyczny;29.sty.02;;;;","
Europa;Francja;Civaux-2;1561;Lekkowodny;PWR;N4 REP 1450;Energetyczny;23.kwi.02;;;;","
Europa;Francja;Cruas-1;956;Lekkowodny;PWR;CP2;Energetyczny;02.kwi.84;;;;","
Europa;Francja;Cruas-2;956;Lekkowodny;PWR;CP2;Energetyczny;01.kwi.85;;;;","
Europa;Francja;Cruas-3;956;Lekkowodny;PWR;CP2;Energetyczny;10.kwi.84;;;;","
Europa;Francja;Cruas-4;956;Lekkowodny;PWR;CP2;Energetyczny;11.lut.85;;;;","
Europa;Francja;Dampierre-1;937;Lekkowodny;PWR;CP1;Energetyczny;10.paŸ.80;;;;","
Europa;Francja;Dampierre-2;937;Lekkowodny;PWR;CP1;Energetyczny;16.lut.81;;;;","
Europa;Francja;Dampierre-3;937;Lekkowodny;PWR;CP1;Energetyczny;27.maj.81;;;;","
Europa;Francja;Dampierre-4;937;Lekkowodny;PWR;CP1;Energetyczny;20.lis.81;;;;","
Europa;Francja;Fassenheim-1;920;Lekkowodny;PWR;CP0;Energetyczny;01.sty.78;;;;","
Europa;Francja;Fassenheim-2;920;Lekkowodny;PWR;CP0;Energetyczny;01.kwi.78;;;;","
Europa;Francja;Flamanville-1;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.gru.86;;;;","
Europa;Francja;Flamanville-2;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;09.mar.87;;;;","
Europa;Francja;Flamanville-3;1650;Lekkowodny;PWR;EPR;Energetyczny;;;2022;;Uruchomienie reaktora opóŸnione","
Europa;Francja;Golfech-1;1363;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.lut.91;;;;","
Europa;Francja;Golfech-2;1363;Lekkowodny;PWR;P4 REP 1300;Energetyczny;04.mar.94;;;;","
Europa;Francja;Gravelines-1;951;Lekkowodny;PWR;CP1;Energetyczny;25.lis.80;;;;","
Europa;Francja;Gravelines-2;951;Lekkowodny;PWR;CP1;Energetyczny;1 Grudnia 1980;;;;","
Europa;Francja;Gravelines-3;951;Lekkowodny;PWR;CP1;Energetyczny;01.cze.81;;;;","
Europa;Francja;Gravelines-4;951;Lekkowodny;PWR;CP1;Energetyczny;01.paŸ.81;;;;","
Europa;Francja;Gravelines-5;951;Lekkowodny;PWR;CP1;Energetyczny;15 Stycznia 1985;;;;","
Europa;Francja;Gravelines-6;951;Lekkowodny;PWR;CP1;Energetyczny;25.paŸ.85;;;;","
Europa;Francja;Marcoule G1;2;Grafitowo-gazowy;GCR;UNGG;Energetyczny;07.sty.56;15.paŸ.68;;;Reaktor wy³¹czony i zdemontowany","
Europa;Francja;Marcoule G2;43;Grafitowo-gazowy;GCR;UNGG;Energetyczny;22.kwi.59;02.lut.80;;;Reaktor wy³¹czony i zdemontowany","
Europa;Francja;Marcoule G3;43;Grafitowo-gazowy;GCR;UNGG;Energetyczny;04.kwi.60;20.cze.84;;;Reaktor wy³¹czony i zdemontowany","
Europa;Francja;Phénix;142;Prêdki;FBR;FBR;Energetyczny;14.lip.74;01.lut.10;;;Reaktor wy³¹czony","
Europa;Francja;Nogent-1;1363;Lekkowodny;PWR;P4 REP 1300;Energetyczny;24.lut.88;;;;","
Europa;Francja;Nogent-2;1363;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.maj.89;;;;","
Europa;Francja;Paluel-1;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.gru.85;;;2025;","
Europa;Francja;Paluel-2;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.gru.85;;;2025;","
Europa;Francja;Paluel-3;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.lut.86;;;2026;","
Europa;Francja;Paluel-4;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.cze.86;;;2026;","
Europa;Francja;Penly-1;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.gru.90;;;;","
Europa;Francja;Penly-2;1382;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.lis.92;;;;","
Europa;Francja;St. Alban-1;1381;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.maj.86;;;;","
Europa;Francja;St. Alban-2;1381;Lekkowodny;PWR;P4 REP 1300;Energetyczny;01.mar.87;;;;","
Europa;Francja;Saint-Laurent A-1;500;Grafitowo-gazowy;GCR;UNGG;Energetyczny;1 Czerwien 1969;18.kwi.90;;;Reaktor wy³¹czony","
Europa;Francja;Saint-Laurent A-2;530;Grafitowo-gazowy;GCR;UNGG;Energetyczny;01.lis.71;27.maj.92;;;Reaktor wy³¹czony","
Europa;Francja;Saint-Laurent B-1;956;Lekkowodny;PWR;CP2;Energetyczny;01.sie.80;;;;","
Europa;Francja;Saint-Laurent B-2;956;Lekkowodny;PWR;CP2;Energetyczny;01.sie.80;;;;","
Europa;Francja;Superphénix;1242;Prêdki;FBR;SPX;Energetyczny;01.gru.86;31.gru.88;;;Reaktor wy³¹czony","
Europa;Francja;Tricastin-1;955;Lekkowodny;PWR;CP1;Energetyczny;01.gru.80;;;;","
Europa;Francja;Tricastin-2;955;Lekkowodny;PWR;CP1;Energetyczny;01.gru.80;;;;","
Europa;Francja;Tricastin-3;955;Lekkowodny;PWR;CP1;Energetyczny;11.maj.81;;;;","
Europa;Francja;Tricastin-4;955;Lekkowodny;PWR;CP1;Energetyczny;01.lis.81;;;;","
Europa;Francja;Zoé;0,00015;Ciê¿kowodny;;EL-1;Badawczy;15.gru.48;mar.76;;;Reaktor wy³¹czony i zdemontowany","
Europa;Francja;Eau lourde n°2;;;;EL-2;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Aquilon;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Eau lourde n°3;;;;EL-3;Badawczy;;;;;Reaktor wy³¹czony","
